time,BPS,BPS-d8,BPSG,BPSG-d8
0:09:00,169.160,13.370,34140.500,9.580
0:16:00,82.360,12.330,25799.680,31.410
0:29:00,38.130,10.350,17565.380,61.750
1:01:00,9.990,5.940,9945.080,102.050
2:00:00,3.900,2.780,3810.620,67.260
4:03:00,0.000,0.000,935.070,21.480
6:02:00,0.000,0.000,343.900,9.590
8:04:00,0.000,0.000,156.070,0.000
10:03:00,0.000,0.000,65.350,0.000
24:08:00,0.000,0.000,0.000,0.000
33:44:00,0.000,0.000,0.000,0.000
48:04:00,0.000,0.000,0.000,0.000
57:58:00,0.000,0.000,0.000,0.000
72:40:00,0.000,0.000,0.000,0.000
