time,BPS,BPS-d8,BPSG,BPSG-d8
0:04:00,439.430,7.270,60.610,32718.490
0:13:00,459.810,11.170,210.350,28929.520
0:28:00,380.740,11.650,451.160,28766.160
1:00:00,234.000,15.930,673.810,26898.820
2:00:00,109.870,20.670,951.280,26454.580
3:57:00,32.250,21.150,1106.550,25477.950
6:03:00,10.320,22.770,1110.320,24095.170
8:00:00,6.580,24.290,1148.310,24510.930
10:02:00,3.390,20.290,1036.360,20568.900
24:06:00,0.000,43.940,1053.360,20959.490
34:06:00,5.510,76.180,1204.880,23429.540
48:04:00,0.000,40.960,1048.530,19455.740
58:01:00,0.000,44.760,1075.590,19498.050
71:37:00,0.000,31.470,1022.000,17864.090
